Id;Name;Duration;LastRun;LastResults;Verdict;Cycle;CalcPrio
1;78082;57262;13.02.2015 16:13;[];1;1;0
2;78083;57145;13.02.2015 16:13;[];1;1;0
3;78084;56861;13.02.2015 16:13;[];1;1;0
4;78085;55332;13.02.2015 16:13;[];1;1;0
5;78086;59120;13.02.2015 16:13;[];1;1;0
6;78098;54792;13.02.2015 16:13;[];1;1;0
7;78087;56098;13.02.2015 16:13;[];1;1;0
8;78097;56062;13.02.2015 16:13;[];1;1;0
9;78096;57046;13.02.2015 16:13;[];1;1;0
10;78088;63852;13.02.2015 16:13;[];1;1;0
11;78095;57176;13.02.2015 16:13;[];1;1;0
12;78094;56819;13.02.2015 16:13;[];1;1;0
13;78089;62456;13.02.2015 16:13;[];1;1;0
14;78093;57542;13.02.2015 16:13;[];1;1;0
15;78092;57052;13.02.2015 16:13;[];1;1;0
16;78090;59522;13.02.2015 16:13;[];1;1;0
17;78081;56285;13.02.2015 16:13;[];1;1;0
18;78080;55577;13.02.2015 16:13;[];1;1;0
19;78091;57323;13.02.2015 16:13;[];1;1;0
20;78074;54015;13.02.2015 16:13;[];1;1;0
21;78076;57319;13.02.2015 16:13;[];1;1;0
22;78079;59348;13.02.2015 16:13;[];1;1;0
23;78077;59096;13.02.2015 16:13;[];1;1;0
24;78078;58661;13.02.2015 16:13;[];1;1;0
25;78075;61690;13.02.2015 16:13;[];1;1;0
26;78074;54015;13.02.2015 16:17;[1];1;1;0
27;78089;62456;13.02.2015 16:17;[1];1;1;0
28;78096;57046;13.02.2015 16:17;[1];1;1;0
29;78076;57319;13.02.2015 16:17;[1];1;1;0
30;78088;63852;13.02.2015 16:17;[1];1;1;0
31;78075;61690;13.02.2015 16:17;[1];1;1;0
32;78097;56062;13.02.2015 16:17;[1];1;1;0
33;78080;55577;13.02.2015 16:17;[1];1;1;0
34;78094;56819;13.02.2015 16:17;[1];1;1;0
35;78079;59348;13.02.2015 16:17;[1];1;1;0
36;78098;54792;13.02.2015 16:17;[1];1;1;0
37;78077;59096;13.02.2015 16:17;[1];1;1;0
38;78092;57052;13.02.2015 16:17;[1];1;1;0
39;78087;56098;13.02.2015 16:17;[1];1;1;0
40;78095;57176;13.02.2015 16:17;[1];1;1;0
41;78085;55332;13.02.2015 16:17;[1];1;1;0
42;78091;57323;13.02.2015 16:17;[1];1;1;0
43;78078;58661;13.02.2015 16:17;[1];1;1;0
44;78084;56861;13.02.2015 16:17;[1];1;1;0
45;78093;57542;13.02.2015 16:17;[1];1;1;0
46;78081;56285;13.02.2015 16:17;[1];1;1;0
47;78083;57145;13.02.2015 16:17;[1];1;1;0
48;78090;59522;13.02.2015 16:17;[1];1;1;0
49;78082;57262;13.02.2015 16:17;[1];1;1;0
50;78086;59120;13.02.2015 16:17;[1];1;1;0
51;78075;61690;13.02.2015 16:19;[1, 1];0;1;0
52;78090;59522;13.02.2015 16:19;[1, 1];0;1;0
53;78074;54015;13.02.2015 16:19;[1, 1];0;1;0
54;78080;55577;13.02.2015 16:19;[1, 1];0;1;0
55;78076;57319;13.02.2015 16:19;[1, 1];0;1;0
56;78088;63852;13.02.2015 16:19;[1, 1];0;1;0
57;78077;59096;13.02.2015 16:19;[1, 1];0;1;0
58;78087;56098;13.02.2015 16:19;[1, 1];0;1;0
59;78086;59120;13.02.2015 16:19;[1, 1];0;1;0
60;78078;58661;13.02.2015 16:19;[1, 1];0;1;0
61;78084;56861;13.02.2015 16:19;[1, 1];0;1;0
62;78083;57145;13.02.2015 16:19;[1, 1];0;1;0
63;78082;57262;13.02.2015 16:19;[1, 1];0;1;0
64;78079;59348;13.02.2015 16:19;[1, 1];0;1;0
65;78081;56285;13.02.2015 16:19;[1, 1];1;1;0
66;78089;62456;13.02.2015 16:19;[1, 1];0;1;0
67;78085;55332;13.02.2015 16:19;[1, 1];0;1;0
68;78091;57323;13.02.2015 16:19;[1, 1];0;1;0
69;78092;57052;13.02.2015 16:19;[1, 1];0;1;0
70;78093;57542;13.02.2015 16:19;[1, 1];0;1;0
71;78098;54792;13.02.2015 16:19;[1, 1];1;1;0
72;78094;56819;13.02.2015 16:19;[1, 1];0;1;0
73;78095;57176;13.02.2015 16:19;[1, 1];0;1;0
74;78097;56062;13.02.2015 16:19;[1, 1];0;1;0
75;78096;57046;13.02.2015 16:19;[1, 1];0;1;0
76;78234;56234;13.02.2015 16:54;[];0;1;0
77;78284;54963;13.02.2015 16:54;[];1;1;0
78;78241;54977;13.02.2015 16:54;[];0;1;0
79;78283;54665;13.02.2015 16:54;[];1;1;0
80;78242;56751;13.02.2015 16:54;[];0;1;0
81;78281;59402;13.02.2015 16:54;[];1;1;0
82;78240;57381;13.02.2015 16:54;[];0;1;0
83;78243;55845;13.02.2015 16:54;[];0;1;0
84;78280;57234;13.02.2015 16:54;[];1;1;0
85;78279;55504;13.02.2015 16:54;[];1;1;0
86;78278;55764;13.02.2015 16:54;[];1;1;0
87;78277;55361;13.02.2015 16:54;[];1;1;0
88;78282;57595;13.02.2015 16:54;[];1;1;0
89;78285;57158;13.02.2015 16:54;[];1;1;0
90;78288;58444;13.02.2015 16:54;[];1;1;0
91;78239;57275;13.02.2015 16:54;[];0;1;0
92;78287;56015;13.02.2015 16:54;[];1;1;0
93;78276;59072;13.02.2015 16:54;[];1;1;0
94;78289;57466;13.02.2015 16:54;[];1;1;0
95;78237;58740;13.02.2015 16:54;[];0;1;0
96;78236;55042;13.02.2015 16:54;[];0;1;0
97;78290;55925;13.02.2015 16:54;[];1;1;0
98;78291;60362;13.02.2015 16:54;[];1;1;0
99;78292;55544;13.02.2015 16:54;[];1;1;0
100;78293;59936;13.02.2015 16:54;[];1;1;0
101;78235;57310;13.02.2015 16:54;[];0;1;0
102;78294;58425;13.02.2015 16:54;[];1;1;0
103;78295;54629;13.02.2015 16:54;[];1;1;0
104;78286;55782;13.02.2015 16:54;[];1;1;0
105;78275;55244;13.02.2015 16:54;[];1;1;0
106;78271;59205;13.02.2015 16:54;[];1;1;0
107;78273;54746;13.02.2015 16:54;[];1;1;0
108;78251;58937;13.02.2015 16:54;[];1;1;0
109;78253;55691;13.02.2015 16:54;[];1;1;0
110;78250;58901;13.02.2015 16:54;[];1;1;0
111;78249;55620;13.02.2015 16:54;[];1;1;0
112;78254;57733;13.02.2015 16:54;[];1;1;0
113;78248;57267;13.02.2015 16:54;[];1;1;0
114;78255;58286;13.02.2015 16:54;[];1;1;0
115;78247;60208;13.02.2015 16:54;[];1;1;0
116;78256;56852;13.02.2015 16:54;[];1;1;0
117;78257;57101;13.02.2015 16:54;[];1;1;0
118;78258;57786;13.02.2015 16:54;[];1;1;0
119;78259;56426;13.02.2015 16:54;[];1;1;0
120;78246;54984;13.02.2015 16:54;[];0;1;0
121;78274;58926;13.02.2015 16:54;[];1;1;0
122;78260;55928;13.02.2015 16:54;[];1;1;0
123;78262;55465;13.02.2015 16:54;[];1;1;0
124;78263;55051;13.02.2015 16:54;[];1;1;0
125;78264;56054;13.02.2015 16:54;[];1;1;0
126;78265;55599;13.02.2015 16:54;[];1;1;0
127;78266;57499;13.02.2015 16:54;[];1;1;0
128;78267;56626;13.02.2015 16:54;[];1;1;0
129;78268;56810;13.02.2015 16:54;[];1;1;0
130;78269;57451;13.02.2015 16:54;[];1;1;0
131;78245;56448;13.02.2015 16:54;[];0;1;0
132;78244;55593;13.02.2015 16:54;[];0;1;0
133;78270;55204;13.02.2015 16:54;[];1;1;0
134;78252;56140;13.02.2015 16:54;[];1;1;0
135;78272;55891;13.02.2015 16:54;[];1;1;0
136;78261;55639;13.02.2015 16:54;[];1;1;0
137;78233;57533;13.02.2015 16:54;[];0;1;0
138;78209;55956;13.02.2015 16:54;[];1;1;0
139;78231;57525;13.02.2015 16:54;[];0;1;0
140;78183;56291;13.02.2015 16:54;[];0;1;0
141;78182;55779;13.02.2015 16:54;[];0;1;0
142;78181;56434;13.02.2015 16:54;[];0;1;0
143;78155;55184;13.02.2015 16:54;[];1;1;0
144;78180;57479;13.02.2015 16:54;[];0;1;0
145;78179;58366;13.02.2015 16:54;[];0;1;0
146;78178;58936;13.02.2015 16:54;[];0;1;0
147;78177;56648;13.02.2015 16:54;[];1;1;0
148;78156;55566;13.02.2015 16:54;[];1;1;0
149;78176;58800;13.02.2015 16:54;[];0;1;0
150;78175;57176;13.02.2015 16:54;[];0;1;0
151;78174;59629;13.02.2015 16:54;[];1;1;0
152;78157;55266;13.02.2015 16:54;[];1;1;0
153;78184;55118;13.02.2015 16:54;[];0;1;0
154;78173;58233;13.02.2015 16:54;[];0;1;0
155;78171;57288;13.02.2015 16:54;[];0;1;0
156;78158;55287;13.02.2015 16:54;[];1;1;0
157;78170;56625;13.02.2015 16:54;[];0;1;0
158;78169;55875;13.02.2015 16:54;[];0;1;0
159;78168;60127;13.02.2015 16:54;[];0;1;0
160;78159;55802;13.02.2015 16:54;[];1;1;0
161;78167;56715;13.02.2015 16:54;[];0;1;0
162;78166;59311;13.02.2015 16:54;[];1;1;0
163;78165;54860;13.02.2015 16:54;[];1;1;0
164;78160;54744;13.02.2015 16:54;[];1;1;0
165;78164;55455;13.02.2015 16:54;[];1;1;0
166;78163;56846;13.02.2015 16:54;[];1;1;0
167;78162;54636;13.02.2015 16:54;[];1;1;0
168;78172;58013;13.02.2015 16:54;[];0;1;0
169;78154;55066;13.02.2015 16:54;[];1;1;0
170;78153;56034;13.02.2015 16:54;[];1;1;0
171;78194;56191;13.02.2015 16:54;[];1;1;0
172;78230;55849;13.02.2015 16:54;[];0;1;0
173;78229;56277;13.02.2015 16:54;[];0;1;0
174;78227;58674;13.02.2015 16:54;[];0;1;0
175;78226;57675;13.02.2015 16:54;[];0;1;0
176;78225;55495;13.02.2015 16:54;[];0;1;0
177;78224;57065;13.02.2015 16:54;[];0;1;0
178;78223;47346;13.02.2015 16:54;[];0;1;0
179;78222;55216;13.02.2015 16:54;[];0;1;0
180;78221;57122;13.02.2015 16:54;[];1;1;0
181;78296;57069;13.02.2015 16:54;[];1;1;0
182;78210;55374;13.02.2015 16:54;[];0;1;0
183;78208;57678;13.02.2015 16:54;[];0;1;0
184;78207;56581;13.02.2015 16:54;[];0;1;0
185;78206;55832;13.02.2015 16:54;[];1;1;0
186;78205;56787;13.02.2015 16:54;[];0;1;0
187;78204;56832;13.02.2015 16:54;[];0;1;0
188;78203;55684;13.02.2015 16:54;[];1;1;0
189;78202;57849;13.02.2015 16:54;[];1;1;0
190;78201;56895;13.02.2015 16:54;[];0;1;0
191;78200;56228;13.02.2015 16:54;[];0;1;0
192;78199;56479;13.02.2015 16:54;[];0;1;0
193;78198;54847;13.02.2015 16:54;[];0;1;0
194;78197;54525;13.02.2015 16:54;[];0;1;0
195;78149;56856;13.02.2015 16:54;[];1;1;0
196;78196;53569;13.02.2015 16:54;[];0;1;0
197;78150;57007;13.02.2015 16:54;[];1;1;0
198;78151;46704;13.02.2015 16:54;[];1;1;0
199;78195;58960;13.02.2015 16:54;[];1;1;0
200;78152;55968;13.02.2015 16:54;[];1;1;0
201;78232;57199;13.02.2015 16:54;[];0;1;0
202;78297;55960;13.02.2015 16:54;[];1;1;0
203;78228;56260;13.02.2015 16:54;[];0;1;0
204;78161;54815;13.02.2015 16:54;[];1;1;0
205;78298;54810;13.02.2015 16:54;[];1;1;0
206;78075;61690;19.02.2015 16:18;[0, 1, 1];1;2;0
207;78078;58661;23.02.2015 16:28;[0, 1, 1];1;3;0
208;78086;59120;23.02.2015 16:28;[0, 1, 1];1;4;0
209;78091;57323;23.02.2015 16:28;[0, 1, 1];1;4;0
210;78092;57052;23.02.2015 16:28;[0, 1, 1];1;4;0
211;78079;59348;23.02.2015 16:28;[0, 1, 1];1;4;0
212;78093;57542;23.02.2015 16:28;[0, 1, 1];1;4;0
213;78085;55332;23.02.2015 16:28;[0, 1, 1];1;4;0
214;78081;56285;23.02.2015 16:28;[1, 1, 1];1;4;0
215;78094;56819;23.02.2015 16:28;[0, 1, 1];1;4;0
216;78080;55577;23.02.2015 16:28;[0, 1, 1];1;4;0
217;78095;57176;23.02.2015 16:28;[0, 1, 1];1;4;0
218;78084;56861;23.02.2015 16:28;[0, 1, 1];1;4;0
219;78097;56062;23.02.2015 16:28;[0, 1, 1];1;4;0
220;78074;54015;23.02.2015 16:28;[0, 1, 1];1;4;0
221;78090;59522;23.02.2015 16:28;[0, 1, 1];1;4;0
222;78083;57145;23.02.2015 16:28;[0, 1, 1];1;4;0
223;78096;57046;23.02.2015 16:28;[0, 1, 1];1;4;0
224;78075;61690;23.02.2015 16:28;[1, 0, 1, 1];1;4;0
225;78088;63852;23.02.2015 16:28;[0, 1, 1];1;4;0
226;78098;54792;23.02.2015 16:28;[1, 1, 1];1;4;0
227;78076;57319;23.02.2015 16:28;[0, 1, 1];1;4;0
228;78087;56098;23.02.2015 16:28;[0, 1, 1];1;4;0
229;78082;57262;23.02.2015 16:28;[0, 1, 1];1;4;0
230;78089;62456;23.02.2015 16:28;[0, 1, 1];1;4;0
231;78077;59096;23.02.2015 16:28;[0, 1, 1];1;4;0
232;78084;56861;23.02.2015 16:32;[1, 0, 1, 1];0;4;0
233;78088;63852;23.02.2015 16:32;[1, 0, 1, 1];0;4;0
234;78076;57319;23.02.2015 16:32;[1, 0, 1, 1];0;4;0
235;78080;55577;23.02.2015 16:32;[1, 0, 1, 1];0;4;0
236;78095;57176;23.02.2015 16:32;[1, 0, 1, 1];0;4;0
237;78094;56819;23.02.2015 16:32;[1, 0, 1, 1];0;4;0
238;78077;59096;23.02.2015 16:32;[1, 0, 1, 1];0;4;0
239;78075;61690;23.02.2015 16:32;[1, 1, 0, 1, 1];0;4;0
240;78090;59522;23.02.2015 16:32;[1, 0, 1, 1];0;4;0
241;78079;59348;23.02.2015 16:32;[1, 0, 1, 1];0;4;0
242;78092;57052;23.02.2015 16:32;[1, 0, 1, 1];0;4;0
243;78087;56098;23.02.2015 16:32;[1, 0, 1, 1];0;4;0
244;78091;57323;23.02.2015 16:32;[1, 0, 1, 1];0;4;0
245;78086;59120;23.02.2015 16:32;[1, 0, 1, 1];0;4;0
246;78096;57046;23.02.2015 16:32;[1, 0, 1, 1];0;4;0
247;78078;58661;23.02.2015 16:32;[1, 0, 1, 1];0;4;0
248;78074;54015;23.02.2015 16:32;[1, 0, 1, 1];1;4;0
249;78089;62456;23.02.2015 16:32;[1, 0, 1, 1];0;4;0
250;78093;57542;23.02.2015 16:32;[1, 0, 1, 1];0;4;0
251;78085;55332;23.02.2015 16:32;[1, 0, 1, 1];0;4;0
252;78098;54792;23.02.2015 16:32;[1, 1, 1, 1];1;4;0
253;78082;57262;23.02.2015 16:32;[1, 0, 1, 1];0;4;0
254;78097;56062;23.02.2015 16:32;[1, 0, 1, 1];0;4;0
255;78083;57145;23.02.2015 16:32;[1, 0, 1, 1];0;4;0
256;78081;56285;23.02.2015 16:32;[1, 1, 1, 1];1;4;0
257;78166;59311;24.02.2015 13:29;[1];0;4;0
258;78175;57176;24.02.2015 18:31;[0];0;5;0
259;78170;56625;24.02.2015 18:31;[0];0;5;0
260;78151;46704;24.02.2015 18:31;[1];0;5;0
261;78178;58936;24.02.2015 18:31;[0];0;5;0
262;78194;56191;24.02.2015 18:31;[1];1;5;0
263;78166;59311;24.02.2015 18:31;[0, 1];0;5;0
264;78196;53569;24.02.2015 18:31;[0];0;5;0
265;78171;57288;24.02.2015 18:31;[0];0;5;0
266;78177;56648;24.02.2015 18:31;[1];0;5;0
267;78165;54860;24.02.2015 18:31;[1];0;5;0
268;78195;58960;24.02.2015 18:31;[1];0;5;0
269;78152;55968;24.02.2015 18:31;[1];1;5;0
270;78159;55802;24.02.2015 18:31;[1];0;5;0
271;78176;58800;24.02.2015 18:31;[0];0;5;0
272;78181;56434;24.02.2015 18:31;[0];0;5;0
273;78172;58013;24.02.2015 18:31;[0];0;5;0
274;78149;56856;24.02.2015 18:31;[1];1;5;0
275;78153;56034;24.02.2015 18:31;[1];1;5;0
276;78198;54847;24.02.2015 18:31;[0];0;5;0
277;78157;55266;24.02.2015 18:31;[1];1;5;0
278;78158;55287;24.02.2015 18:31;[1];0;5;0
279;78173;58233;24.02.2015 18:31;[0];0;5;0
280;78154;55066;24.02.2015 18:31;[1];0;5;0
281;78174;59629;24.02.2015 18:31;[1];1;5;0
282;78150;57007;24.02.2015 18:31;[1];0;5;0
283;78160;54744;24.02.2015 18:31;[1];0;5;0
284;78163;56846;24.02.2015 18:31;[1];0;5;0
285;78156;55566;24.02.2015 18:31;[1];1;5;0
286;78179;58366;24.02.2015 18:31;[0];0;5;0
287;78168;60127;24.02.2015 18:31;[0];0;5;0
288;78182;55779;24.02.2015 18:31;[0];0;5;0
289;78183;56291;24.02.2015 18:31;[0];0;5;0
290;78164;55455;24.02.2015 18:31;[1];0;5;0
291;78161;54815;24.02.2015 18:31;[1];0;5;0
292;78167;56715;24.02.2015 18:31;[0];0;5;0
293;78180;57479;24.02.2015 18:31;[0];0;5;0
294;78169;55875;24.02.2015 18:31;[0];0;5;0
295;78162;54636;24.02.2015 18:31;[1];0;5;0
296;78199;56479;24.02.2015 18:31;[0];0;5;0
297;78155;55184;24.02.2015 18:31;[1];0;5;0
298;78184;55118;24.02.2015 18:31;[0];0;5;0
299;78197;54525;24.02.2015 18:31;[0];0;5;0
300;78256;56852;24.02.2015 18:32;[1];0;5;0
301;82457;55690;24.02.2015 18:32;[];0;5;0
302;78227;58674;24.02.2015 18:32;[0];0;5;0
303;78205;56787;24.02.2015 18:32;[0];0;5;0
304;78251;58937;24.02.2015 18:32;[1];0;5;0
305;82438;56181;24.02.2015 18:32;[];1;5;0
306;78228;56260;24.02.2015 18:32;[0];0;5;0
307;78274;58926;24.02.2015 18:32;[1];0;5;0
308;82486;58622;24.02.2015 18:32;[];1;5;0
309;78204;56832;24.02.2015 18:32;[0];0;5;0
310;82443;55994;24.02.2015 18:32;[];1;5;0
311;82493;54752;24.02.2015 18:32;[];0;5;0
312;82488;57416;24.02.2015 18:32;[];1;5;0
313;82428;56815;24.02.2015 18:32;[];1;5;0
314;82441;58132;24.02.2015 18:32;[];1;5;0
315;78273;54746;24.02.2015 18:32;[1];0;5;0
316;78232;57199;24.02.2015 18:32;[0];0;5;0
317;78281;59402;24.02.2015 18:32;[1];0;5;0
318;78231;57525;24.02.2015 18:32;[0];0;5;0
319;82475;55581;24.02.2015 18:32;[];0;5;0
320;78276;59072;24.02.2015 18:32;[1];0;5;0
321;78254;57733;24.02.2015 18:32;[1];0;5;0
322;78278;55764;24.02.2015 18:32;[1];0;5;0
323;82459;55209;24.02.2015 18:32;[];0;5;0
324;78207;56581;24.02.2015 18:32;[0];0;5;0
325;82440;56302;24.02.2015 18:32;[];1;5;0
326;78255;58286;24.02.2015 18:32;[1];0;5;0
327;78279;55504;24.02.2015 18:32;[1];0;5;0
328;78229;56277;24.02.2015 18:32;[0];0;5;0
329;82494;57241;24.02.2015 18:32;[];0;5;0
330;82426;55007;24.02.2015 18:32;[];1;5;0
331;84005;56263;24.02.2015 18:32;[];1;5;0
332;78275;55244;24.02.2015 18:32;[1];0;5;0
333;78252;56140;24.02.2015 18:32;[1];0;5;0
334;82425;54746;24.02.2015 18:32;[];1;5;0
335;82458;57036;24.02.2015 18:32;[];0;5;0
336;82474;57172;24.02.2015 18:32;[];0;5;0
337;78253;55691;24.02.2015 18:32;[1];1;5;0
338;78280;57234;24.02.2015 18:32;[1];0;5;0
339;82473;56452;24.02.2015 18:32;[];1;5;0
340;78206;55832;24.02.2015 18:32;[1];0;5;0
341;78230;55849;24.02.2015 18:32;[0];0;5;0
342;82442;56296;24.02.2015 18:32;[];1;5;0
343;82495;56225;24.02.2015 18:32;[];1;5;0
344;78277;55361;24.02.2015 18:32;[1];0;5;0
345;82484;56294;24.02.2015 18:32;[];0;5;0
346;78234;56234;24.02.2015 18:32;[0];0;5;0
347;82476;56199;24.02.2015 18:32;[];0;5;0
348;82490;55403;24.02.2015 18:32;[];1;5;0
349;82433;56058;24.02.2015 18:32;[];1;5;0
350;82449;55065;24.02.2015 18:32;[];0;5;0
351;82445;55643;24.02.2015 18:32;[];1;5;0
352;82437;55591;24.02.2015 18:32;[];1;5;0
353;78264;56054;24.02.2015 18:32;[1];0;5;0
354;82481;57078;24.02.2015 18:32;[];0;5;0
355;78243;55845;24.02.2015 18:32;[0];0;5;0
356;82480;55397;24.02.2015 18:32;[];0;5;0
357;82450;57149;24.02.2015 18:32;[];0;5;0
358;78265;55599;24.02.2015 18:32;[1];0;5;0
359;78242;56751;24.02.2015 18:32;[0];0;5;0
360;78241;54977;24.02.2015 18:32;[0];0;5;0
361;82432;56187;24.02.2015 18:32;[];1;5;0
362;78258;57786;24.02.2015 18:32;[1];0;5;0
363;82451;55239;24.02.2015 18:32;[];0;5;0
364;78263;55051;24.02.2015 18:32;[1];0;5;0
365;78201;56895;24.02.2015 18:32;[0];0;5;0
366;82446;56173;24.02.2015 18:32;[];1;5;0
367;82489;55602;24.02.2015 18:32;[];0;5;0
368;82435;56933;24.02.2015 18:32;[];1;5;0
369;78246;54984;24.02.2015 18:32;[0];1;5;0
370;78260;55928;24.02.2015 18:32;[1];0;5;0
371;82483;55648;24.02.2015 18:32;[];0;5;0
372;78244;55593;24.02.2015 18:32;[0];0;5;0
373;82447;56909;24.02.2015 18:32;[];1;5;0
374;78245;56448;24.02.2015 18:32;[0];0;5;0
375;78247;60208;24.02.2015 18:32;[1];0;5;0
376;82434;57460;24.02.2015 18:32;[];1;5;0
377;82482;56501;24.02.2015 18:32;[];0;5;0
378;78262;55465;24.02.2015 18:32;[1];0;5;0
379;82448;55612;24.02.2015 18:32;[];0;5;0
380;78261;55639;24.02.2015 18:32;[1];0;5;0
381;82456;56015;24.02.2015 18:32;[];0;5;0
382;78248;57267;24.02.2015 18:32;[1];0;5;0
383;78266;57499;24.02.2015 18:32;[1];0;5;0
384;82454;55394;24.02.2015 18:32;[];0;5;0
385;78235;57310;24.02.2015 18:32;[0];0;5;0
386;78257;57101;24.02.2015 18:32;[1];0;5;0
387;78250;58901;24.02.2015 18:32;[1];0;5;0
388;82477;54933;24.02.2015 18:32;[];0;5;0
389;78270;55204;24.02.2015 18:32;[1];0;5;0
390;82430;57141;24.02.2015 18:32;[];1;5;0
391;82492;55423;24.02.2015 18:32;[];0;5;0
392;78259;56426;24.02.2015 18:32;[1];0;5;0
393;78271;59205;24.02.2015 18:32;[1];0;5;0
394;82455;52542;24.02.2015 18:32;[];0;5;0
395;82429;58401;24.02.2015 18:32;[];1;5;0
396;78233;57533;24.02.2015 18:32;[0];0;5;0
397;78272;55891;24.02.2015 18:32;[1];0;5;0
398;78203;55684;24.02.2015 18:32;[1];0;5;0
399;78200;56228;24.02.2015 18:32;[0];0;5;0
400;78269;57451;24.02.2015 18:32;[1];0;5;0
401;82453;54572;24.02.2015 18:32;[];0;5;0
402;82479;56397;24.02.2015 18:32;[];0;5;0
403;78240;57381;24.02.2015 18:32;[0];0;5;0
404;82491;55937;24.02.2015 18:32;[];1;5;0
405;78267;56626;24.02.2015 18:32;[1];0;5;0
406;78202;57849;24.02.2015 18:32;[1];1;5;0
407;82452;55366;24.02.2015 18:32;[];0;5;0
408;78236;55042;24.02.2015 18:32;[0];0;5;0
409;78239;57275;24.02.2015 18:32;[0];0;5;0
410;78237;58740;24.02.2015 18:32;[0];0;5;0
411;82485;54539;24.02.2015 18:32;[];0;5;0
412;78268;56810;24.02.2015 18:32;[1];0;5;0
413;82444;55000;24.02.2015 18:32;[];1;5;0
414;78249;55620;24.02.2015 18:32;[1];0;5;0
415;82478;56793;24.02.2015 18:32;[];0;5;0
416;82431;55444;24.02.2015 18:32;[];1;5;0
417;82472;54366;24.02.2015 18:32;[];0;5;0
418;82427;56490;24.02.2015 18:32;[];1;5;0
419;82424;55886;24.02.2015 18:32;[];1;5;0
420;82517;56708;24.02.2015 18:32;[];1;5;0
421;82516;58788;24.02.2015 18:32;[];1;5;0
422;78290;55925;24.02.2015 18:32;[1];0;5;0
423;78221;57122;24.02.2015 18:32;[1];1;5;0
424;82469;56371;24.02.2015 18:32;[];0;5;0
425;78210;55374;24.02.2015 18:32;[0];0;5;0
426;82420;55796;24.02.2015 18:32;[];1;5;0
427;82515;55231;24.02.2015 18:32;[];1;5;0
428;78291;60362;24.02.2015 18:32;[1];0;5;0
429;78220;55226;24.02.2015 18:32;[];0;5;0
430;82514;55381;24.02.2015 18:32;[];1;5;0
431;82419;26714;24.02.2015 18:32;[];1;5;0
432;82499;57793;24.02.2015 18:32;[];0;5;0
433;78292;55544;24.02.2015 18:32;[1];0;5;0
434;82463;57649;24.02.2015 18:32;[];0;5;0
435;82518;55235;24.02.2015 18:32;[];1;5;0
436;78289;57466;24.02.2015 18:32;[1];0;5;0
437;82498;55408;24.02.2015 18:32;[];0;5;0
438;78224;57065;24.02.2015 18:32;[0];0;5;0
439;78286;55782;24.02.2015 18:32;[1];0;5;0
440;78209;55956;24.02.2015 18:32;[1];1;5;0
441;82523;56065;24.02.2015 18:32;[];1;5;0
442;78287;56015;24.02.2015 18:32;[1];0;5;0
443;78223;47346;24.02.2015 18:32;[0];0;5;0
444;82522;58512;24.02.2015 18:32;[];1;5;0
445;82470;56300;24.02.2015 18:32;[];0;5;0
446;82421;55549;24.02.2015 18:32;[];1;5;0
447;82521;56830;24.02.2015 18:32;[];1;5;0
448;78288;58444;24.02.2015 18:32;[1];0;5;0
449;82520;57278;24.02.2015 18:32;[];1;5;0
450;82462;56853;24.02.2015 18:32;[];0;5;0
451;82519;56380;24.02.2015 18:32;[];1;5;0
452;78222;55216;24.02.2015 18:32;[0];0;5;0
453;78219;55928;24.02.2015 18:32;[];1;5;0
454;82497;57982;24.02.2015 18:32;[];0;5;0
455;82513;54743;24.02.2015 18:32;[];1;5;0
456;82512;56949;24.02.2015 18:32;[];1;5;0
457;82465;54977;24.02.2015 18:32;[];0;5;0
458;82506;56343;24.02.2015 18:32;[];0;5;0
459;82415;57791;24.02.2015 18:32;[];1;5;0
